CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
650	792	10	0.9855	-2.016
526	1415	10	0.9561	-8.059
776	2004	10	0.7525	268.115
494	508	10	0.9745	-21.984
516	1361	10	0.9242	35.989
631	989	10	0.9718	-24.001
516	780	10	0.8146	21.997
494	641	10	0.9774	46.006
494	989	10	0.9601	-48.000
641	1161	10	0.9355	-0.000
1010	1158	10	0.9461	19.969
494	723	10	0.9755	0.004
798	2004	10	0.7433	268.116
494	650	10	0.9778	-26.016
510	1352	10	0.9706	-45.992
1058	1352	10	0.9793	-2.003
650	1406	10	0.9464	-23.999
648	1415	10	0.9689	-6.045
643	649	10	0.9858	-2.015
521	643	10	0.9671	-21.986
515	649	10	0.9875	-23.999
650	1104	10	0.9592	2.021
790	1058	10	0.983	28.031
649	1352	10	0.9848	24.012
631	1406	10	0.952	-26.016
515	1158	10	0.9726	46.005
486	1104	10	0.9657	-23.995
780	1622	10	0.9319	-264.245
723	989	10	0.9513	-48.004
650	723	10	0.9788	26.020
531	1361	10	0.8532	35.985
641	723	10	0.9803	-46.001
643	648	10	0.9917	0.001
778	810	10	0.8833	26.018
1022	1361	10	0.832	21.997
526	649	10	0.9718	-4.030
508	792	10	0.9793	-6.047
486	650	10	0.9903	-26.016
790	1415	10	0.9674	-2.014
776	1622	10	0.9621	-238.229
526	643	10	0.9855	-2.015
489	643	10	0.9795	-21.990
780	798	10	0.9698	-26.016
790	1352	10	0.9866	26.028
526	648	10	0.9823	-2.014
643	790	10	0.9837	-4.030
648	1352	10	0.9855	21.997
649	790	10	0.9862	-2.016
489	1058	10	0.9793	2.011
792	808	10	0.987	30.047
502	989	10	0.9719	-28.032
792	1104	10	0.9592	4.036
508	723	10	0.971	21.988
723	1104	10	0.9528	-23.999
510	641	10	0.8285	162.052
531	1158	10	0.8609	35.972
1010	1361	10	0.944	19.982
643	1415	10	0.9687	-6.044
508	650	10	0.9797	-4.032
526	790	10	0.9676	-6.046
510	515	10	0.9753	-46.006
723	792	10	0.9704	-28.035
776	798	10	0.9741	-0.000
648	1058	10	0.9747	23.999
526	1409	10	0.9634	-28.031
641	785	10	0.8268	-13.979
648	649	10	0.9942	-2.016
516	641	10	0.8256	198.029
792	989	10	0.9552	-19.969
643	1352	10	0.98	21.998
515	1352	10	0.9921	0.014
631	808	10	0.9926	26.015
808	989	10	0.964	-50.016
489	510	10	0.9847	46.001
516	531	10	0.8499	0.004
989	1104	10	0.9555	24.005
808	1406	10	0.9478	-52.031
486	631	10	0.9922	-23.999
489	1352	10	0.9907	0.008
515	521	10	0.9762	0.002
1158	1361	10	0.9886	0.013
1010	1022	10	0.79	-2.015
641	1158	10	0.8344	-162.053
649	1409	10	0.9661	-24.001
486	641	10	0.9893	46.005
649	1058	10	0.9848	26.015
508	631	10	0.9858	-2.015
486	723	10	0.9824	0.004
486	508	10	0.9858	-21.984
502	508	10	0.9629	-2.016
643	1409	10	0.9671	-26.015
723	808	10	0.9692	2.012
780	826	10	0.9409	0.003
486	989	10	0.971	-48.000
486	494	10	0.9862	-0.000
631	792	10	0.9855	-4.032
516	1158	10	0.9334	35.976
826	1622	10	0.9047	-264.248
510	531	10	0.8557	-35.973
494	631	10	0.9856	-23.999
650	808	10	0.9879	28.032
776	826	10	0.9477	26.019
521	1415	10	0.951	-28.030
778	785	10	0.9495	26.016
515	648	10	0.9904	-21.983
510	1158	10	0.9956	-0.001
494	1104	10	0.9567	-23.995
486	808	10	0.9849	2.016
776	780	10	0.9832	26.016
508	989	10	0.9892	-26.016
526	1058	10	0.9652	21.985
521	1352	10	0.9737	0.012
631	723	10	0.9805	24.003
508	808	10	0.9783	24.000
510	516	10	0.9337	-35.977
521	649	10	0.9689	-24.000
631	650	10	0.9887	-2.017
515	790	10	0.9919	-26.014
648	790	10	0.9876	-4.031
515	1058	10	0.9818	2.016
742	1010	10	0.915	46.006
1010	2004	10	0.7557	248.089
494	808	10	0.9779	2.016
489	1361	10	0.9797	46.013
489	790	10	0.9884	-26.020
510	1361	10	0.9864	0.012
510	1010	10	0.9496	-19.969
643	1058	10	0.9829	24.001
521	1058	10	0.9647	2.015
489	1158	10	0.9809	46.000
494	792	10	0.9761	-28.031
1104	1406	10	0.9368	-26.020
650	989	10	0.9609	-21.984
